country_code,subdivision_name,code,country_name,combined_name,location_normalized,latitude,longitude,place_id
AD,Andorra la Vella,AD-07,Andorra,"Andorra la Vella, Andorra",Andorra la Vella,42.5063174,1.5218355,ChIJC_slSiv1pRIRgHKZkXCUAAo
AD,Canillo,AD-02,Andorra,"Canillo, Andorra",Canillo,42.5978249,1.6566377,ChIJTe6gnypirxIRz3zz-P1hYFk
AD,Encamp,AD-03,Andorra,"Encamp, Andorra",Encamp,42.5194138,1.6566377,ChIJjxoc-DOIpRIRALGBPm6UAAQ
AD,Escaldes-Engordany,AD-08,Andorra,"Escaldes-Engordany, Andorra",Escaldes-Engordany,42.5100804,1.5387862,ChIJaxpK9OKKpRIRtp4e8lTF3v0
AD,La Massana,AD-04,Andorra,"La Massana, Andorra",La Massana,42.545625,1.5147392,ChIJN6oRJ_pfrxIRgHGZkXCUAAo
AD,Ordino,AD-05,Andorra,"Ordino, Andorra",Ordino,42.5994433,1.5402327,ChIJMQoHTz5grxIRCdOGHvriZNY
AD,Sant Julia de Loria,AD-06,Andorra,"Sant Julia de Loria, Andorra",Sant Julià de Lòria,42.4529631,1.4918235,ChIJMx4tb17zpRIR3SfXBr8BPNg
AE,'Ajman,AE-AJ,United Arab Emirates,"'Ajman, United Arab Emirates",Ajman,25.4052165,55.5136433,ChIJeb6P3WRXXz4RGahFZN6QoM0
AE,Abu Zaby,AE-AZ,United Arab Emirates,"Abu Zaby, United Arab Emirates",Abu Dhabi,24.453884,54.3773438,ChIJufI-cg9EXj4RCBGXQZMuzMc
AE,Al Fujayrah,AE-FU,United Arab Emirates,"Al Fujayrah, United Arab Emirates",Fujairah,25.4110762,56.2482277,ChIJX7kokD0y9D4RvDyz2xuxwaY
AE,Ash Shariqah,AE-SH,United Arab Emirates,"Ash Shariqah, United Arab Emirates",Sharjah,25.0753974,55.7578403,ChIJ0Zp9hY5ZXz4RZlq4HHZvx2g
AE,Dubayy,AE-DU,United Arab Emirates,"Dubayy, United Arab Emirates",Dubai,25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0
AE,Ra's al Khaymah,AE-RK,United Arab Emirates,"Ra's al Khaymah, United Arab Emirates",Ras al Khaimah,25.6741343,55.9804173,ChIJpwnSTA5x9j4RD-KEpgxnnrk
