Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Recovered,﻿Province/State
,,67786,China,2020-03-13,3062,,30.9756,112.2707,51553,Hubei
,,1356,China,2020-03-13,8,,23.3417,113.4244,1296,Guangdong
,,1273,China,2020-03-13,22,,33.882,113.614,1249,Henan
,,1215,China,2020-03-13,1,,29.1832,120.0934,1197,Zhejiang
,,1018,China,2020-03-13,4,,27.6104,111.7088,1005,Hunan
,,990,China,2020-03-13,6,,31.8257,117.2264,984,Anhui
,,935,China,2020-03-13,1,,27.614,115.7221,934,Jiangxi
,,760,China,2020-03-13,7,,36.3427,118.1498,739,Shandong
,,631,China,2020-03-13,0,,32.9711,119.455,630,Jiangsu
,,576,China,2020-03-13,6,,30.0572,107.874,566,Chongqing
,,539,China,2020-03-13,3,,30.6171,102.7103,503,Sichuan
,,482,China,2020-03-13,13,,47.862,127.7615,446,Heilongjiang
,,436,China,2020-03-13,8,,40.1824,116.4142,342,Beijing
,,346,China,2020-03-13,3,,31.202,121.4491,324,Shanghai
,,318,China,2020-03-13,6,,38.0428,114.5149,310,Hebei
,,296,China,2020-03-13,1,,26.0789,117.9874,295,Fujian
,,252,China,2020-03-13,2,,23.8298,108.7881,243,Guangxi
,,245,China,2020-03-13,2,,35.1917,108.8701,232,Shaanxi
,,174,China,2020-03-13,2,,24.974,101.487,170,Yunnan
,,168,China,2020-03-13,6,,19.1959,109.7453,160,Hainan
,,146,China,2020-03-13,2,,26.8154,106.8748,140,Guizhou
,,136,China,2020-03-13,3,,39.3054,117.323,132,Tianjin
,,134,China,2020-03-13,4,,22.3,114.2,77,Hong Kong
,,133,China,2020-03-13,0,,37.5777,112.2922,133,Shanxi
,,127,China,2020-03-13,2,,36.0611,103.8343,88,Gansu
,,125,China,2020-03-13,1,,41.2956,122.6085,112,Liaoning
,,76,China,2020-03-13,3,,41.1129,85.2401,73,Xinjiang
,,75,China,2020-03-13,1,,44.0935,113.9448,71,Inner Mongolia
,,75,China,2020-03-13,0,,37.2692,106.1655,72,Ningxia
,,93,China,2020-03-13,1,,43.6661,126.1923,91,Jilin
,,18,China,2020-03-13,0,,35.7452,95.9956,18,Qinghai
,,10,China,2020-03-13,0,,22.1667,113.55,10,Macau
,,1,China,2020-03-13,0,,31.6927,88.0924,1,Tibet
,,27,Panama,2020-03-13,1,,8.538,-80.7821,0,
,,5,Australia,2020-03-13,0,,-41.4545,145.9707,0,Tasmania
,,32,Croatia,2020-03-13,0,,45.1,15.2,1,
,,2,Burkina Faso,2020-03-13,0,,12.2383,-1.5616,0,
,,33,Albania,2020-03-13,1,,41.1533,20.1683,0,
,,64,Canada,2020-03-13,1,,53.7267,-127.6476,4,British Columbia
,,92,Australia,2020-03-13,2,,-33.8688,151.2093,4,New South Wales
,,36,Australia,2020-03-13,0,,-37.8136,144.9631,8,Victoria
,,35,Australia,2020-03-13,0,,-28.0167,153.4,8,Queensland
,,16,Australia,2020-03-13,0,,-34.9285,138.6007,3,South Australia
,,2,United Kingdom,2020-03-13,0,,49.372284,-2.364351,0,Channel Islands
,,64,Philippines,2020-03-13,5,,12.8797,121.774,2,
,,1,Nepal,2020-03-13,0,,28.3949,84.124,1,
,,6,Sri Lanka,2020-03-13,0,,7.8731,80.7718,1,
,,85,United Arab Emirates,2020-03-13,0,,23.4241,53.8478,17,
,,75,Thailand,2020-03-13,1,,15.87,100.9925,35,
,,5,Cambodia,2020-03-13,0,,12.5657,104.991,1,
,,80,San Marino,2020-03-13,5,,43.9424,12.4578,0,
,,74,Canada,2020-03-13,0,,51.2538,-85.3232,4,Ontario
,,1,Australia,2020-03-13,0,,-35.4735,149.0124,0,Australian Capital Territory
,,3675,Germany,2020-03-13,7,,51.1657,10.4515,46,
,,2,Congo (Kinshasa),2020-03-13,0,,-4.0383,21.7587,0,
,,2,Honduras,2020-03-13,0,,15.2,-86.2419,0,
,,46,US,2020-03-13,0,,35.4437,139.638,0,Diamond Princess
,,26,Algeria,2020-03-13,2,,28.0339,1.6596,8,
,,5,Reunion,2020-03-13,0,,-21.1151,55.5364,0,
,,19,Oman,2020-03-13,0,,21.4735,55.9754,9,
,,696,Cruise Ship,2020-03-13,7,,35.4498,139.6649,325,Diamond Princess
,,1,Canada,2020-03-13,0,,46.5653,-66.4619,0,New Brunswick
,,17660,Italy,2020-03-13,1266,,41.8719,12.5674,1439,
,,101,Iraq,2020-03-13,9,,33.2232,43.6793,24,
