Active,Admin2,Confirmed,Country_Region,Date,Deaths,FIPS,Lat,Long_,Province_State,Recovered
106,Abbeville,106,US,2020-06-29,0,45001,34.22333378,-82.46170658,South Carolina,0
813,Acadia,850,US,2020-06-29,37,22001,30.2950649,-92.41419698,Louisiana,0
1025,Accomack,1039,US,2020-06-29,14,51001,37.76707161,-75.63234615,Virginia,0
2017,Ada,2040,US,2020-06-29,23,16001,43.4526575,-116.24155159999998,Idaho,0
15,Adair,15,US,2020-06-29,0,19001,41.33075609,-94.47105874,Iowa,0
96,Adair,115,US,2020-06-29,19,21001,37.10459774,-85.28129668,Kentucky,0
90,Adair,90,US,2020-06-29,0,29001,40.19058551,-92.60078167,Missouri,0
110,Adair,114,US,2020-06-29,4,40001,35.88494195,-94.65859267,Oklahoma,0
4015,Adams,4170,US,2020-06-29,155,8001,39.87432092,-104.3362578,Colorado,0
10,Adams,10,US,2020-06-29,0,16003,44.89333571,-116.4545247,Idaho,0
87,Adams,88,US,2020-06-29,1,17001,39.98815591,-91.18786813,Illinois,0
44,Adams,45,US,2020-06-29,1,18001,40.7457653,-84.93671406,Indiana,0
8,Adams,8,US,2020-06-29,0,19003,41.02903567,-94.69932645,Iowa,0
235,Adams,253,US,2020-06-29,18,28001,31.47669768,-91.35326037,Mississippi,0
281,Adams,292,US,2020-06-29,11,31001,40.52449420000001,-98.50117804,Nebraska,0
20,Adams,21,US,2020-06-29,1,39001,38.84541072,-83.4718964,Ohio,0
320,Adams,332,US,2020-06-29,12,42001,39.87140411,-77.21610347,Pennsylvania,0
130,Adams,130,US,2020-06-29,0,53001,46.98299757,-118.5601734,Washington,0
17,Adams,19,US,2020-06-29,2,55001,43.96974651,-89.76782777,Wisconsin,0
66,Addison,68,US,2020-06-29,2,50001,44.03217337,-73.14130877,Vermont,0
349,Aiken,358,US,2020-06-29,9,45003,33.54338026,-81.63645384,South Carolina,0
13,Aitkin,13,US,2020-06-29,0,27001,46.60962049,-93.4116826,Minnesota,0
1147,Alachua,1159,US,2020-06-29,12,12001,29.67866525,-82.35928158,Florida,0
